,Name,Type,TypeID,SiteID,Renewable,Capacity(MW),Capacity(kW),StartYear,EndYear
342,South Creake Solar Farm,Solar,7,1777,1,26.0,26000,2016,2041
343,Pen Y Cae solar farm,Solar,7,1781,1,6.9,6900,2015,2040
344,Rose And Crown Farm,Solar,7,1783,1,30.0,30000,2016,2041
345,Wickfield Farm,Solar,7,1784,1,5.0,5000,2017,2042
346,Rookery Farm,Solar,7,1785,1,3.8,3800,2015,2040
347,Seaview Farm,Solar,7,1787,1,1.7,1700,2016,2041
348,Chelveston Airfield - extension,Solar,7,1788,1,3.5,3500,2014,2039
349,Huddlesford Farm,Solar,7,1804,1,1.0,1000,2016,2041
350,Park Lane,Solar,7,1806,1,1.0,1000,2016,2041
351,Gypsom Solar Farm,Solar,7,1811,1,5.0,5000,2017,2042
352,Polmaugan Farm,Solar,7,1813,1,5.0,5000,2014,2039
353,Land at Gilley's Mill Dam,Solar,7,1815,1,5.0,5000,2016,2041
354,East Lenham Solar Farm,Solar,7,1816,1,6.6,6600,2014,2039
355,Steventon Solar Park,Solar,7,1817,1,10.0,10000,2014,2039
