"index","Normalised_ASHP_heat","Normalised_ASHP_elec","Normalised_GSHP_heat","Normalised_GSHP_elec","Normalised_Resistance_heater_heat","Normalised_Resistance_heater_elec","Normalised_Gas_boiler_heat","Normalised_Gas_boiler_gas"
"2013-07-09T23:00:00",1.6512280495514097e-06,6.35087707163e-07,4.179027862786869e-06,1.5196465154272427e-06,2.2160720433307034e-05,2.2160720433307034e-05,0.0,0.0
"2013-07-09T23:30:00",1.8055177030479589e-06,6.94429873178896e-07,4.040870967343797e-06,1.4694074854099845e-06,2.0843948707662932e-05,2.0843948707662932e-05,0.0,0.0
"2013-07-10T00:00:00",6.3665972031405646e-06,3.852207533997596e-06,4.495967883974433e-06,1.634897392485958e-06,1.6716371965363127e-05,1.6716371965363127e-05,1.488787382690864e-06,1.7723659381225704e-06
"2013-07-10T00:30:00",6.3665972031405646e-06,3.909612016258476e-06,4.495967883974433e-06,1.634897392485958e-06,2.7594810935457406e-05,2.7594810935457406e-05,0.0,0.0
"2013-07-10T01:00:00",6.456315938647737e-06,4.010532863038724e-06,5.207116617553977e-06,1.8934968723642843e-06,2.7594810935457406e-05,2.7594810935457406e-05,0.0,0.0
"2013-07-10T01:30:00",6.308377958299186e-06,4.0292741508077435e-06,5.337052453654765e-06,1.9407463269151696e-06,2.7594810935457406e-05,2.7594810935457406e-05,0.0,0.0
"2013-07-10T02:00:00",1.0720068182196728e-05,4.818423288338353e-06,9.807222873713728e-06,6.834415605899325e-06,2.7524977389904426e-05,2.7524977389904426e-05,0.0,0.0
"2013-07-10T02:30:00",7.419569873650803e-06,4.1997112053547904e-06,9.06364099449417e-06,6.738698486866305e-06,2.623293703057181e-05,2.623293703057181e-05,0.0,0.0
"2013-07-10T03:00:00",8.390507229598075e-06,4.167396515004109e-06,8.596138618208424e-06,6.200764169119477e-06,2.7045898740988897e-05,2.7045898740988897e-05,1.3618277903725933e-06,1.6212235553163986e-06
"2013-07-10T03:30:00",1.3972098607708322e-05,5.401883339479309e-06,9.203515273080363e-06,6.37711437183658e-06,2.7045898740988897e-05,2.7045898740988897e-05,1.3618277903725933e-06,1.6212235553163986e-06
"2013-07-10T04:00:00",1.8294512882844425e-05,6.0670469429522225e-06,1.1459630449457987e-05,6.941723422006958e-06,2.759534245439404e-05,2.759534245439404e-05,9.468955655193717e-06,1.1272566136030072e-05
"2013-07-10T04:30:00",1.5618883272596613e-05,5.700686151163009e-06,1.1459630449457987e-05,7.059071963026946e-06,2.759534245439404e-05,2.759534245439404e-05,1.0540500454074556e-05,1.25482144978441e-05
"2013-07-10T05:00:00",1.4594448710518863e-05,5.416368104711368e-06,1.1594566322660882e-05,7.96870499135754e-06,3.253590713337425e-05,3.253590713337425e-05,2.440827797996309e-05,2.9057473455974258e-05
